Course Code,Course Title,Duration (min),Instructors,Days,Start Time,End Time,Enrollment,Class Venues
ENGL 2402-LEC 1,Narrative,110,Tom Edward Sewel,MW,8:00 AM,9:50 AM,45,Acad Block A-9
ENGL 2811-LEC 1,Spaces,110,Sadia Zulfiqar,MW,12:00 PM,1:50 PM,35,Acad Block A-9
ENGL 2991-LEC 1,Humanities,110,Maria Rehman,TR,8:00 AM,9:50 AM,30,SAHSOL CR 2-01
ENGL 3172-LEC 1,Fiction in Europe,110,Farah Hasan Ali,MW,8:00 AM,9:50 AM,30,Acad Block A-12
ENGL 3812-LEC 1,African Literature,110,Furrukh A. Khan,MW,12:00 PM,1:50 PM,40,Acad Block A-5
ENV 102-LEC 1,Introduction to Environmental Studies,110,Maryam Ibrahim,TR,10:00 AM,11:50 AM,70,Acad Block A-11
ENV 132-LEC 1,Disasters,110,Sana Khosa,TR,2:00 PM,3:50 PM,45,SAHSOL ARDCR 0-07
ENV 210-LEC 1,Methods in Environmental Studies,110,Fazilda Nabeel,MW,12:00 PM,1:50 PM,50,SAHSOL CR 1-07
ENV 342-LEC 1,Environmentalism and Development,110,Maryam Ibrahim,MW,3:00 PM,4:50 PM,25,Acad Block SS
FINN 100-LEC 1,Principles of Finance,75,Salman Khan,MW,9:30 AM,10:45 AM,55,SDSB 203
FINN 200-LEC 1,Intermediate Finance,75,Bushra Naqvi,MW,11:00 AM,12:15 PM,55,SDSB 204
FINN 200-LEC 2,Intermediate Finance,75,Ali,MW,8:00 AM,9:15 AM,55,SDSB 204
FINN 200-LEC 3,Intermediate Finance,75,Ali,MW,9:30 AM,10:45 AM,55,SDSB 204
FINN 372-LEC 1,Actuarial Sciences and Insurance,75,Nauman Afzal Cheema,TR,12:30 PM,1:45 PM,60,SDSB 204
FINN 400-LEC 1,Applied Corporate Finance,75,Saad Azmat,TR,2:00 PM,3:15 PM,55,SDSB 204
FINN 403-LEC 1,Financial Modelling,75,Talha Farrukh Lib Bldg,TR,11:00 AM,12:15 PM,60,LAB-1
FINN 441-LEC 1,Islamic Banking and Finance,75,Saad Azmat,TR,3:30 PM,4:45 PM,60,SDSB 204
FINN 454-LEC 1,Portfolio Management,75,Syed Kumail Abbas Rizvi,MW,11:00 AM,12:15 PM,60,SDSB TRDLB
GSL 202-LEC 1,Writing from the Trial,110,Sarah Humayun,MW,11:00 AM,12:50 PM,25,Acad Block A-14
GSS 264-LEC 1,Media Gaps,110,Maria Amir,TR,12:00 PM,1:50 PM,25,Acad Block A-5
HIST 122-LEC 1,East Asian History,110,Hassan Haider Karrar,TR,11:00 AM,12:50 PM,70,Acad Block A-8
HIST 2322-LEC 1,A Brief history of Evil,110,Muhammad Ali Raza,TR,11:00 AM,12:50 PM,40,SBASSE 10-302
HIST 2324-LEC 1,and Borderlands Studies,110,Ilyas Ahmad Chattha,MW,2:00 PM,3:50 PM,35,Acad Block A-11
HIST 314-LEC 1,Punjab,110,Khan,MW,2:00 PM,3:50 PM,30,Acad Block A-1
HIST 329-LEC 1,The Cold War,110,Hassan Haider Karrar,TR,1:30 PM,3:20 PM,37,SDSB 205
HIST 3310-LEC 1,Disaster,110,Waqar Zaidi,MW,12:00 PM,1:50 PM,20,Acad Block A-10
LANG 122-LEC 1,Introduction to Balochi Language,110,Jahanzeb Baloch,TR,10:00 AM,11:50 AM,25,SAHSOL GHKCR 0-02
LANG 127-LEC 1,Introduction to Persian Language,110,Samina Arifa,TR,12:00 PM,1:50 PM,25,SAHSOL MMACR 1-02
LANG 127-LEC 2,Introduction to Persian Language,110,Samina Arifa,TR,2:30 PM,4:20 PM,25,SAHSOL GHKCR 0-02
LAW 102-LEC 2,Introduction to Pakistan Legal System,110,Marva Khan,MW,2:00 PM,3:50 PM,35,SAHSOL CR 1-07
LAW 220-LEC 1,Contracts,110,Hamid,TR,1:00 PM,2:50 PM,29,SAHSOL CR 2-06
LAW 220-LEC 2,Contracts,110,Syeda Zehra Zaidi,MW,11:30 AM,1:20 PM,29,SAHSOL CR 2-06
LAW 222-LEC 1,Torts,110,Syeda Zehra Zaidi,MW,2:00 PM,3:50 PM,29,SAHSOL CR 2-07
LAW 240-LEC 1,Criminal Law,110,Angbeen Atif Mirza,MW,10:00 AM,11:50 AM,29,SAHSOL GHKCR 0-02
LAW 280-LEC 1,Research Methods,110,Adnan Sattar,TR,2:00 PM,3:50 PM,29,SAHSOL SIACR 0-06
LAW 303-LEC 1,Advanced Writing from the Trial,110,Sarah Humayun,TR,12:00 PM,1:50 PM,20,SAHSOL CR 2-01
LAW 338-LEC 1,United Kingdom,110,Raza Saeed SAHSOL,TR,10:00 AM,11:50 AM,24,LAW-FACLOU
LAW 352-LEC 1,Public International Law,110,Sikandar Ahmed Shah,MW,10:00 AM,11:50 AM,30,SAHSOL MMACR 1-02
LAW 352-LEC 2,Public International Law,110,Madiha Talat,MW,12:00 PM,1:50 PM,30,SAHSOL GHKCR 0-02
LAW 353-LEC 1,Human Rights,110,Adnan Sattar,MW,2:00 PM,3:50 PM,35,SAHSOL ARDCR 0-07
LAW 394-LEC 1,Competition Law and Antitrust,110,Khadijah Ahmad,TR,10:00 AM,11:50 AM,30,SAHSOL CR 2-01
LAW 426-LEC 1,Marxist Theories of Law,110,Aisha Ahmad,TR,12:00 PM,1:50 PM,30,SAHSOL CR 1-06
LAW 4304-LEC 1,Parliamentary Power Play,110,Marva Khan,MW,10:00 AM,11:50 AM,25,SAHSOL CR 1-06
LAW 486-LEC 1,Advanced Legal Research,110,Raza Saeed,MW,2:00 PM,3:50 PM,25,SAHSOL CR 1-06
MATH 101-LEC 1,Calculus I,75,Ali Nosherwan Hamed,MW,12:30 PM,1:45 PM,140,SBASSE 10-301
MATH 101-LEC 2,Calculus I,75,Sultan Sial,TR,8:00 AM,9:15 AM,140,SBASSE 10-301
